zone,avg_inc
1,3000.0
2,3000.0
3,3000.0
4,1310.0
5,1600.0
6,4800.0
7,2400.0
8,1850.0
9,800.0
10,1020.0
11,800.0
12,1530.0
13,1040.0
14,734.0
15,800.0
16,835.5
17,1000.0
18,510.0
19,1367.5
20,950.0
21,2550.0
22,1663.0
23,1020.0
24,1200.0
25,1020.0
26,1153.0
27,1600.0
28,644.0
29,1020.0
30,700.0
31,1260.0
32,910.0
33,970.0
34,800.0
35,2115.0
36,4000.0
37,3980.0
38,1200.0
39,6000.0
40,10000.0
41,6000.0
42,6005.0
43,1650.0
44,4000.0
45,1220.0
46,1160.0
47,1140.0
48,1020.0
49,644.0
50,1132.5
51,2720.0
52,610.0
53,1020.0
54,700.0
55,590.0
56,510.0
57,510.0
58,510.0
59,1020.0
60,730.0
61,1020.0
62,510.0
63,510.0
64,510.0
